Departamento,Municipio,Cantidad,Divipola
CESAR,EL COPEY,28550,20238
CESAR,EL PASO,34620,20250
CESAR,GAMARRA,12444,20295
CESAR,GONZALEZ,4053,20310
CESAR,LA GLORIA,14989,20383
CESAR,LA JAGUA DE IBIRICO,37356,20400
CESAR,MANAURE,9313,20443
CESAR,PAILITAS,16800,20517
CESAR,PELAYA,18497,20550
CESAR,PUEBLO BELLO,22929,20570
CESAR,RIO DE ORO,14408,20614
CESAR,LA PAZ,26109,20621
CESAR,SAN ALBERTO,23040,20710
CESAR,SAN DIEGO,18531,20750
CESAR,SAN MARTIN,20452,20770
CESAR,TAMALAMEQUE,14063,20787
CORDOBA,MONTERIA,433723,23001
CORDOBA,AYAPEL,38816,23068
CORDOBA,BUENAVISTA,18344,23079
CORDOBA,CANALETE,14831,23090
CORDOBA,CERETE,96252,23162
CORDOBA,CHIMA,13492,23168
CORDOBA,CHINU,42680,23182
CORDOBA,CIENAGA DE ORO,56278,23189
CORDOBA,COTORRA,16215,23300
CORDOBA,LA APARTADA,13742,23350
CORDOBA,LORICA,98491,23417
CORDOBA,LOS CORDOBAS,15886,23419
CORDOBA,MOMIL,16264,23464
CORDOBA,MONTELIBANO,71824,23466
CORDOBA,MOÑITOS,25095,23500
CORDOBA,PLANETA RICA,60259,23555
CORDOBA,PUEBLO NUEVO,26968,23570
CORDOBA,PUERTO ESCONDIDO,19474,23574
CORDOBA,PUERTO LIBERTADOR,35362,23580
CORDOBA,PURISIMA,14705,23586
CORDOBA,SAHAGUN,94020,23660
CORDOBA,SAN ANDRES SOTAVENTO,42046,23670
CORDOBA,SAN ANTERO,29028,23672
CORDOBA,SAN BERNARDO DEL VIENTO,29437,23675
CORDOBA,SAN CARLOS,23532,23678
CORDOBA,SAN JOSE DE URE,11059,23682
CORDOBA,SAN PELAYO,40617,23686
CORDOBA,TIERRALTA,86578,23807
CORDOBA,TUCHIN,40033,23815
CORDOBA,VALENCIA,30545,23855
CUNDINAMARCA,AGUA DE DIOS,10742,25001
CUNDINAMARCA,ALBAN,6136,25019
CUNDINAMARCA,ANAPOIMA,12241,25035
CUNDINAMARCA,ANOLAIMA,12204,25040
CUNDINAMARCA,ARBELAEZ,10005,25053
CUNDINAMARCA,BELTRAN,1720,25086
CUNDINAMARCA,BITUIMA,2224,25095
CUNDINAMARCA,BOJACA,9674,25099
CUNDINAMARCA,CABRERA,4512,25120
CUNDINAMARCA,CACHIPAY,9274,25123
CUNDINAMARCA,CAJICA,81111,25126
CUNDINAMARCA,CAPARRAPI,10301,25148
CUNDINAMARCA,CAQUEZA,15594,25151
CUNDINAMARCA,CARMEN DE CARUPA,7345,25154
CUNDINAMARCA,CHAGUANI,3323,25168
CUNDINAMARCA,CHIA,129613,25175
CUNDINAMARCA,CHIPAQUE,8633,25178
CUNDINAMARCA,CHOACHI,10397,25181
CUNDINAMARCA,CHOCONTA,19825,25183
CUNDINAMARCA,COGUA,21102,25200
CUNDINAMARCA,COTA,31868,25214
